name,lat,lon
Bosch,1.3472231,103.8412467
Opposite Bishan North Shopping Mall,1.3580904,103.8451799
Blk 257,1.3599327,103.8437966
Blk 245,1.3602798,103.8437155
Blk 202,1.3546625,103.8470075
Opposite Blk 203,1.3544496,103.8469655
Bishan North Shopping Mall,1.3582471,103.8449601
Opposite Kallang Place,1.3141787,103.8656576
Blk 7,1.317186,103.861927
Before Kallang Place,1.314325,103.865849
Boon Keng Station/Blk 22,1.3180532,103.8612274
River Valley High School,1.3449406,103.7086329
Blk 176,1.3469812,103.7101993
Opposite River Valley High School,1.3447136,103.7078898
Blk 185,1.3475363,103.7105989
Opposite Blk 213,1.3497704,103.7123986
Blk 213,1.3495815,103.7124789
Opposite Blk 188,1.3438965,103.7103191
Blk 191,1.343525,103.712382
Blk 188,1.3438939,103.7105878
Blk 206,1.3454193,103.7149922
Blk 209,1.3455878,103.714793
Blk 210,1.3476062,103.7124591
Boon Lay Community Club,1.3483377,103.7116964
Boon Lay Shopping Centre,1.3463476,103.713061
Opposite Ng Teng Fong Gen Hospital,1.3322794,103.7457493
Blk 350,1.3439277,103.7312255
Opposite Blk 660 Carpark,1.3346503,103.7045816
Blk 657,1.3349791,103.7006524
Ng Teng Fong General Hospital,1.332641,103.7458075
Blk 203,1.3364148,103.7425884
Opposite Blk 657 Carpark,1.3346931,103.7008558
Opposite Blk 200,1.34229,103.7148069
The Synergy,1.3300075,103.748278
Blk 210,1.3384259,103.7385968
Before Yuhua Community Club,1.3401765,103.7363818
Blk 200,1.3424835,103.7144052
Opposite Blk 350,1.3436007,103.7310353
Opposite Chinese Garden Station,1.3424966,103.73315
After Jurong West Street 51,1.3451547,103.724016
8 @ Tradehub 21,1.3269444,103.7542042
Blk 105,1.3376658,103.7389824
Lakeside Station,1.3443033,103.7201466
Chinese Garden Station,1.3425176,103.7326627
Opposite The Synergy,1.3306797,103.7481848
Before Jurong West Street 51,1.3448826,103.7241635
Blk 112,1.3394826,103.7366429
Opposite Lakeside Station,1.344298,103.7192965
Blk 660 Carpark,1.334971,103.70425
J Gateway,1.335829,103.742678
Blk 655,1.3349884,103.697683
Summerdale,1.3416751,103.7122723
Opposite 8 @tradehub 21,1.3261719,103.7554977
Opposite Summerdale,1.341242,103.7119222
Before The Synergy,1.3279165,103.7510282
Jurong Lake,1.3442428,103.727428
Opposite Jurong Lake,1.344463,103.727486
After Boon Lay Sub Station,1.328135,103.75139
Opposite Blk 655 Carpark,1.334644,103.6980037
Blk 257A,1.3555108,103.872207
Blk 230,1.355728,103.869694
Serangoon Stadium,1.3550013,103.874507
Opposite Blk 257,1.3558524,103.8719554
Blk 233,1.3553857,103.8689248
Blk 209,1.3539856,103.874954
Opposite Braddell View,1.3440995,103.8394385
After Muhajirin Mosque,1.3433835,103.8512224
PUB Recreation Club,1.343519,103.867056
Opposite Blk 998,1.3439942,103.8502545
Opposite Singapore Power Training Institute,1.34305,103.869745
Singapore Power Training Institute,1.3424336,103.869486
Blk 147,1.3435302,103.854663
BCA Academy,1.343538,103.8587096
Before Bishan Road,1.3448702,103.8427694
Blk 1004,1.3436646,103.8473542
Before Braddell Flyover,1.3436197,103.862918
Opposite PUB Recreation Club,1.343981,103.86658
After Lynwood Grove,1.3440857,103.8634817
Opposite Blk 1004,1.344261,103.8477519
After Bishan Road,1.343913,103.8436328
Blk 219,1.3430335,103.8564026
Raffles Hotel,1.2945685,103.854012
After Bras Basah Station Exit A,1.2964741,103.8514803
Bencoolen Station Exit B,1.2981739,103.8493575
Opposite Hai Inn See Temple,1.3766899,103.7349105
Aft Hai Inn See Tp,1.3764685,103.7346858
Blk 984,1.3817267,103.881402
Opposite Blk 968,1.3791744,103.8783646
Blk 911,1.3790766,103.8832987
Opposite Blk 910,1.379399,103.882608
Blk 565,1.381221,103.888125
Opposite Blk 565,1.38104,103.887625
Blk 969,1.3789378,103.8789872
Opposite Blk 579,1.3794886,103.885745
Blk 579,1.3793135,103.8860865
Opposite Blk 980C,1.3801992,103.881609
Blk 980C,1.3798996,103.8813496
Blk 102,1.3469832,103.7476262
Blk 190,1.3449163,103.7460903
Blk 298,1.3447466,103.7463118
Blk 644,1.348711,103.7520678
After Bukit Batok Station/Blk 628,1.3515476,103.7500475
Bukit Batok Community Club,1.349901,103.7478087
Opposite Blk 628,1.3517567,103.7502562
Blk 225,1.3484162,103.7520699
Opposite Blk 266,1.3491101,103.7609998
Blk 240,1.3510773,103.7539318
Blk 503,1.3511367,103.7536375
Blk 258,1.3515514,103.7591073
Opposite Blk 258,1.351726,103.7589732
Blk 267,1.3488025,103.7606817
Opposite Blk 242,1.3514047,103.7565431
Blk 242,1.3512334,103.7563822
Blk 283,1.3469999,103.7568113
Blk 229,1.3485394,103.754694
Burgundy Hill,1.3391758,103.7604476
St. Andrew's Mission School,1.3423889,103.7591474
Blk 289E,1.3439469,103.7586264
Blk 290H,1.34402,103.7584234
Keming Primary School,1.3464749,103.7568172
Opposite Burgundy Hill,1.3385693,103.7602509
Opposite Parkview Apartments,1.3416368,103.7590842
Blk 254,1.3493575,103.7579784
Blk 272,1.3488596,103.7576856
Opposite Bukit Gombak Stadium,1.3574222,103.7528522
Regent Heights,1.3528502,103.7552207
Bukit Gombak Stadium,1.3573478,103.7531668
Blk 510,1.3528309,103.7549569
Bukit Batok Swimming Complex,1.3449725,103.7485076
Blk 288C,1.3464048,103.7594158
Opposite Bukit View Secondary School,1.3447549,103.752155
Opposite Bukit Batok Swimming Complex,1.345283,103.7482417
Church Of Saint Mary,1.3466454,103.75922
Park Natura,1.3469613,103.7647114
Autobacs,1.3469587,103.763856
Bukit View Secondary School,1.3451218,103.7518758
Opposite Dulwich Coll,1.3509113,103.7376083
Opposite Blk 443D,1.3557122,103.7364816
Dulwich Coll/Blk 445,1.3517275,103.7377531
Opposite Blk 437A,1.3588195,103.7385946
Bukit Batok Fire Station,1.3740155,103.7526505
After Pan Island Expressway,1.3477407,103.737976
Blk 402,1.3649754,103.7442566
After Bukit Batok West Avenue 5,1.3677119,103.7472696
Blk 443D,1.3559686,103.7369204
Before Pan Island Expressway,1.3478785,103.7384819
Before Bukit Batok West Avenue 5,1.3704362,103.7501844
Opposite Bukit Batok Fire Station,1.3739194,103.7522409
Opposite Bukit View Secondary School,1.3465925,103.7516872
Opposite Blk 217,1.3462521,103.7543676
Bukit View Secondary School,1.3464785,103.7519587
Blk 217,1.3464259,103.7546181
SBST Bukit Batok Depot,1.3408194,103.7551649
Opposite Midview Building,1.3397226,103.7574233
